iter	Passed	Remaining
0	63	63857
1	69	34772
2	77	25754
3	85	21268
4	90	17945
5	95	15750
6	99	14067
7	105	13030
8	108	11980
9	113	11247
10	117	10557
11	122	10110
12	126	9606
13	130	9191
14	134	8839
15	138	8495
16	142	8236
17	147	8035
18	151	7845
19	155	7643
20	160	7497
21	165	7341
22	169	7205
23	173	7075
24	178	6958
25	182	6847
26	188	6778
27	192	6684
28	196	6581
29	201	6509
30	207	6476
31	211	6388
32	216	6335
33	221	6289
34	228	6309
35	233	6247
36	237	6179
37	241	6113
38	245	6052
39	250	6018
40	255	5977
41	260	5943
42	264	5892
43	270	5878
44	275	5844
45	279	5796
46	283	5746
47	288	5727
48	293	5696
49	298	5664
50	302	5620
51	306	5585
52	311	5562
53	316	5542
54	320	5506
55	325	5479
56	330	5462
57	336	5465
58	342	5460
59	347	5441
60	353	5435
61	357	5406
62	361	5377
63	366	5355
64	370	5326
65	375	5319
66	380	5292
67	384	5276
68	389	5249
69	394	5240
70	398	5218
71	403	5196
72	407	5173
73	411	5153
74	417	5146
75	421	5129
76	426	5112
77	431	5096
78	436	5088
79	440	5070
80	445	5054
81	449	5035
82	454	5021
83	459	5008
84	464	4996
85	468	4981
86	474	4974
87	478	4959
88	483	4948
89	487	4929
90	492	4922
91	497	4911
92	502	4904
93	508	4896
94	512	4884
95	518	4880
96	523	4877
97	528	4864
98	533	4858
99	541	4874
100	552	4921
101	560	4936
102	567	4945
103	577	4975
104	585	4988
105	594	5013
106	603	5036
107	612	5061
108	620	5070
109	629	5092
110	636	5098
111	644	5106
112	652	5119
113	656	5101
114	663	5109
115	671	5113
116	682	5149
117	691	5171
118	697	5165
119	706	5179
120	733	5328
121	742	5345
122	752	5366
123	760	5375
124	770	5391
125	779	5404
126	784	5395
127	793	5405
128	801	5409
129	809	5415
130	818	5426
131	824	5423
132	829	5410
133	834	5394
134	842	5400
135	847	5384
136	851	5366
137	859	5369
138	865	5360
139	872	5362
140	880	5366
141	888	5369
142	893	5356
143	901	5356
144	907	5350
145	916	5360
146	924	5364
147	930	5357
148	939	5363
149	945	5358
150	950	5345
151	956	5335
152	964	5340
153	972	5343
154	978	5332
155	985	5329
156	990	5318
157	995	5305
158	1000	5292
159	1007	5288
160	1014	5286
161	1019	5275
162	1025	5267
163	1030	5250
164	1035	5240
165	1040	5225
166	1045	5216
167	1050	5204
168	1056	5192
169	1062	5187
170	1067	5177
171	1073	5168
172	1078	5154
173	1083	5143
174	1089	5137
175	1096	5131
176	1101	5123
177	1109	5121
178	1115	5117
179	1122	5112
180	1129	5108
181	1133	5096
182	1138	5084
183	1143	5072
184	1149	5065
185	1154	5052
186	1161	5047
187	1166	5038
188	1172	5031
189	1177	5019
190	1181	5006
191	1186	4992
192	1192	4987
193	1197	4975
194	1202	4962
195	1211	4970
196	1219	4971
197	1227	4971
198	1236	4977
199	1241	4965
200	1246	4955
201	1253	4952
