,age,technology_primary,joined_through_referral,preferred_offer_types,last_visit_time,days_since_last_login,avg_time_spent,opportunity_size_usd,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,last_visit_hour
0,18,0,0,1,2024-01-18 16:08:02,17,300.63,53005.25,561,781.75,1,1,0,1,2,0,16
1,32,1,0,1,2024-01-18 12:38:13,16,306.34,12838.38,549,697.62,1,0,1,2,4,0,12
2,44,1,1,1,2024-01-18 22:53:21,14,516.16,21027.0,591,500.69,0,1,1,3,7,1,22
3,37,1,1,1,2024-01-18 15:57:50,11,53.27,25239.56,1282,567.66,0,1,1,4,7,1,15
4,31,3,0,0,2024-01-18 15:46:44,20,113.13,24483.66,559,663.06,0,1,1,2,7,1,15
5,13,0,0,1,2024-01-18 06:46:07,23,433.62,13884.77,594,722.27,1,0,1,4,3,0,6
6,21,1,1,1,2024-01-18 11:40:04,10,55.38,8982.5,619,756.21,1,0,1,3,3,0,11
7,42,1,0,0,2024-01-18 07:52:43,19,429.11,44554.82,594,568.08,0,1,1,4,1,1,7
8,44,3,0,2,2024-01-18 06:50:10,15,191.07,18362.31,586,697.62,1,0,1,3,6,0,6
9,45,0,0,1,2024-01-18 19:10:16,10,97.31,19244.16,619,706.23,0,1,1,0,6,1,19
10,25,1,1,1,2024-01-18 05:57:20,14,570.23,35119.93,1294,699.7,1,1,0,1,1,1,5
11,60,3,0,1,2024-01-18 11:56:11,14,55.53,41672.02,737,798.12,1,0,0,1,0,0,11
12,11,3,0,0,2024-01-18 04:42:50,13,41.09,44007.18,564,608.26,1,0,1,4,6,1,4
13,34,3,1,1,2024-01-18 08:35:05,10,89.76,21318.19,1282,697.62,0,1,0,1,1,1,8
14,40,0,0,2,2024-01-18 21:01:43,20,100.59,14842.62,603,697.62,0,1,0,1,7,0,21
16,57,0,0,2,2024-01-18 20:58:28,5,333.34,47241.32,1294,697.62,1,1,1,3,0,1,20
17,11,0,1,1,2024-01-18 03:42:26,12,275.13,29072.86,603,733.97,1,0,0,1,6,0,3
18,39,3,0,0,2024-01-18 15:39:05,9,241.74,33170.16,1282,551.11,1,0,1,0,3,1,15
19,45,0,0,2,2024-01-18 11:46:54,14,31.15,66982.61,1294,164.8,1,0,1,4,5,0,11
20,33,1,0,2,2024-01-18 18:50:35,15,49.86,44289.97,597,703.96,1,0,0,1,6,1,18
21,30,3,1,1,2024-01-18 08:55:48,21,30.37,49404.86,592,630.61,1,0,1,0,7,1,8
22,19,0,0,1,2024-01-18 23:04:40,15,483.03,52702.67,648,389.36,0,1,1,0,2,0,23
23,48,3,1,2,2024-01-18 19:10:29,12,72.52,15860.41,652,529.03,0,1,0,1,3,0,19
24,43,1,0,0,2024-01-18 06:23:02,17,108.3,21725.57,589,225.0,0,1,0,1,7,1,6
25,29,1,0,2,2024-01-18 20:56:20,18,300.38,12069.06,1291,777.31,0,1,0,1,0,0,20
26,10,0,1,0,2024-01-18 17:25:38,1,100.65,8515.5,1282,757.7,1,0,0,1,3,0,17
27,20,1,0,1,2024-01-18 18:29:25,22,272.31,42743.44,552,687.26,1,0,0,1,1,1,18
29,10,0,0,0,2024-01-18 10:16:14,4,127.37,15719.24,549,634.88,1,0,1,4,7,1,10
30,17,1,0,2,2024-01-18 21:06:46,20,162.93,31100.95,550,633.05,0,1,1,2,0,1,21
31,60,1,1,2,2024-01-18 20:03:13,18,498.09,48125.94,611,697.62,0,1,0,1,1,1,20
32,11,1,1,2,2024-01-18 09:36:43,10,185.53,60143.68,919,836.08,1,0,1,3,2,0,9
33,60,1,1,1,2024-01-18 02:31:33,11,537.25,1773.49,1282,711.76,1,1,0,1,1,0,2
34,12,1,0,0,2024-01-18 21:45:25,8,198.26,26105.24,1291,721.36,1,0,0,1,6,0,21
35,52,3,0,1,2024-01-18 23:17:22,9,119.47,10101.48,619,158.55,1,0,0,1,7,1,23
36,30,3,1,1,2024-01-18 22:46:55,15,68.19,21111.9,592,574.01,1,1,1,3,6,1,22
37,26,1,1,2,2024-01-18 14:55:59,3,215.89,41979.65,1295,697.62,0,1,0,1,0,1,14
38,26,1,1,2,2024-01-18 04:16:41,20,194.85,5912.06,554,568.34,1,0,0,1,0,1,4
39,49,1,1,0,2024-01-18 23:11:17,8,706.36,19062.25,1297,780.58,1,0,0,1,1,0,23
40,24,1,0,2,2024-01-18 21:06:08,15,210.44,35531.98,597,745.49,1,0,0,1,1,0,21
42,33,1,0,0,2024-01-18 05:06:03,12,394.26,34697.85,565,752.3,1,0,1,0,7,0,5
43,17,1,0,1,2024-01-18 01:51:39,6,348.07,94100.72,919,824.95,1,1,0,1,2,0,1
44,36,0,1,1,2024-01-18 06:06:05,2,691.09,17989.46,1297,697.62,0,1,1,2,3,1,6
45,12,1,0,2,2024-01-18 22:27:40,8,33.09,55607.35,1297,697.62,1,0,0,1,2,0,22
46,58,3,0,2,2024-01-18 21:21:14,11,30.78,48080.03,549,713.62,1,0,0,1,1,0,21
47,41,1,0,2,2024-01-18 23:21:15,13,282.87,27528.03,611,743.8,1,0,0,1,7,0,23
48,30,3,0,1,2024-01-18 14:13:01,20,100.42,86433.91,1297,719.93,0,1,1,4,8,0,14
49,50,1,0,0,2024-01-18 03:10:02,18,154.7,24197.4,632,697.62,0,1,1,2,0,0,3
50,23,0,1,2,2024-01-18 14:01:02,10,65.25,5136.08,1297,755.22,0,1,0,1,6,0,14
51,38,3,0,1,2024-01-18 12:05:44,8,324.75,28535.13,611,770.31,1,1,1,2,6,0,12
52,20,1,1,2,2024-01-18 04:11:19,16,237.39,25000.09,559,704.4,0,1,0,1,7,1,4
53,35,3,0,0,2024-01-18 05:36:03,20,148.24,30984.56,550,729.04,1,0,0,1,6,0,5
54,43,1,1,2,2024-01-18 03:32:50,16,773.83,9091.94,586,700.4,0,1,0,1,1,0,3
55,32,0,1,2,2024-01-18 02:35:02,13,117.68,19822.82,1024,697.62,1,0,0,1,0,0,2
56,40,3,0,1,2024-01-18 11:27:38,18,251.06,63416.63,552,1087.18,0,1,1,3,5,0,11
58,48,3,0,0,2024-01-18 08:24:51,12,539.49,49270.76,552,503.95,1,0,0,1,0,1,8
59,35,3,0,1,2024-01-18 09:20:14,12,34.48,48679.07,1282,779.59,1,0,0,1,1,0,9
61,44,1,1,2,2024-01-18 22:22:17,13,283.49,7603.71,1297,553.45,1,1,1,4,3,1,22
62,40,1,0,1,2024-01-18 14:31:59,3,33.82,39735.58,597,784.32,1,0,1,0,0,0,14
63,18,3,1,0,2024-01-18 21:33:45,20,156.06,4783.23,628,597.87,1,0,1,0,0,0,21
64,10,3,0,0,2024-01-18 11:07:18,12,31.67,25436.23,1297,656.67,0,1,0,1,7,1,11
65,35,3,1,2,2024-01-18 22:34:23,4,157.03,22975.33,564,548.1,0,1,0,1,7,1,22
66,43,0,0,0,2024-01-18 13:41:04,11,227.23,29602.15,594,663.63,0,1,1,4,1,1,13
68,53,0,0,2,2024-01-18 12:50:50,6,228.02,46353.54,565,302.01,1,0,1,0,3,0,12
69,55,3,0,0,2024-01-18 22:22:34,18,42.77,8996.95,1297,749.56,1,0,1,4,7,0,22
71,39,1,0,1,2024-01-18 04:04:47,13,98.57,2645.63,592,674.42,0,1,0,1,1,1,4
72,11,0,0,0,2024-01-18 01:42:15,23,176.31,8983.02,597,707.46,0,1,1,2,1,1,1
73,37,1,0,2,2024-01-18 03:29:16,17,687.16,29101.96,564,713.82,1,1,0,1,6,1,3
75,57,1,0,2,2024-01-18 03:26:00,13,119.1,44341.82,1297,563.92,1,0,1,0,6,1,3
76,47,0,0,2,2024-01-18 17:26:06,10,131.86,26399.43,561,757.01,0,1,1,3,6,0,17
77,50,1,1,0,2024-01-18 18:29:15,19,65.39,17054.69,589,353.37,0,1,1,2,3,0,18
78,49,0,1,1,2024-01-18 10:39:05,3,74.9,41612.23,619,1196.57,0,1,1,3,3,1,10
80,30,1,0,2,2024-01-18 10:45:58,9,97.74,32347.7,611,697.62,0,1,0,1,6,0,10
81,25,0,0,2,2024-01-18 04:45:26,13,135.21,3561.26,561,697.62,1,0,1,2,0,0,4
82,53,1,0,1,2024-01-18 21:35:56,18,172.99,9044.15,1294,763.14,1,0,1,3,5,0,21
83,54,3,1,0,2024-01-18 19:26:54,13,254.72,11345.66,1291,572.41,0,1,1,3,1,1,19
84,62,1,0,2,2024-01-18 07:55:41,5,304.52,47658.52,632,699.19,0,1,1,2,0,1,7
85,55,1,1,0,2024-01-18 22:44:04,1,1316.52,2367.56,597,441.84,1,0,0,1,3,0,22
86,30,1,0,0,2024-01-18 08:37:37,13,264.54,40756.7,603,628.31,1,0,0,1,0,1,8
87,30,3,0,0,2024-01-18 02:48:44,12,191.41,25575.44,1297,648.68,0,1,1,3,6,1,2
88,51,1,1,2,2024-01-18 10:11:22,13,135.09,48819.9,1294,697.62,1,0,1,3,6,0,10
89,29,3,1,1,2024-01-18 05:44:02,12,123.37,13032.52,1282,697.62,1,0,0,1,3,1,5
