iter	Passed	Remaining
0	166	166229
1	173	86523
2	179	59626
3	186	46516
4	193	38449
5	200	33133
6	205	29211
7	211	26242
8	217	23961
9	223	22101
10	229	20591
11	234	19327
12	240	18275
13	246	17331
14	251	16503
15	257	15820
16	262	15195
17	268	14654
18	275	14203
19	280	13754
20	286	13360
21	291	12965
22	297	12650
23	303	12336
24	308	12042
25	314	11772
26	319	11525
27	325	11290
28	331	11086
29	337	10920
30	344	10780
31	350	10614
32	356	10446
33	362	10289
34	367	10139
35	373	10006
36	379	9864
37	384	9728
38	389	9605
39	395	9488
40	401	9384
41	406	9282
42	412	9169
43	417	9074
44	423	8982
45	428	8891
46	434	8808
47	440	8727
48	445	8646
49	451	8573
50	456	8502
51	462	8424
52	467	8361
53	474	8310
54	481	8268
55	487	8221
56	493	8163
57	499	8105
58	504	8049
59	510	7995
60	515	7941
61	521	7887
62	526	7833
63	532	7782
64	537	7736
65	544	7699
66	550	7669
67	556	7631
68	562	7588
69	567	7545
70	573	7505
71	579	7469
72	584	7426
73	590	7391
74	595	7350
75	601	7318
76	607	7283
77	613	7248
78	619	7217
79	624	7186
80	630	7153
81	636	7121
82	641	7091
83	647	7061
84	653	7029
85	658	6999
86	664	6968
87	669	6934
88	674	6904
89	680	6878
90	685	6851
91	691	6824
92	697	6802
93	704	6787
94	710	6766
95	715	6741
96	721	6715
97	726	6689
98	732	6662
99	737	6638
100	742	6612
101	748	6588
102	754	6566
103	759	6543
104	764	6520
105	770	6497
106	775	6476
107	781	6454
108	786	6431
109	792	6409
110	797	6388
111	803	6368
112	808	6348
113	814	6328
114	820	6312
115	825	6291
116	831	6274
117	837	6257
118	842	6237
119	848	6221
120	854	6204
121	859	6185
122	865	6168
123	870	6152
124	876	6136
125	882	6121
126	887	6104
127	893	6087
128	899	6071
129	904	6055
130	910	6039
131	915	6023
132	920	5999
133	925	5983
134	931	5967
135	937	5953
136	942	5938
137	948	5924
138	954	5910
139	959	5895
140	965	5880
141	971	5869
142	977	5855
143	983	5844
144	989	5832
145	995	5820
146	1001	5809
147	1007	5797
148	1012	5782
149	1017	5767
150	1023	5754
151	1028	5740
152	1034	5727
153	1040	5714
154	1046	5703
155	1052	5692
156	1057	5680
157	1063	5669
158	1069	5657
159	1074	5643
160	1080	5630
161	1085	5616
162	1091	5603
163	1096	5591
164	1102	5578
165	1107	5564
166	1112	5551
167	1118	5539
168	1124	5527
169	1129	5515
170	1135	5503
171	1140	5491
172	1146	5480
173	1151	5468
174	1157	5456
175	1163	5445
176	1168	5434
177	1174	5425
178	1180	5415
179	1186	5404
180	1191	5393
181	1197	5380
182	1202	5370
183	1208	5357
184	1213	5347
185	1219	5337
186	1225	5325
187	1230	5315
188	1236	5304
189	1241	5292
190	1247	5282
191	1252	5272
192	1258	5261
193	1263	5250
194	1269	5239
195	1274	5228
