Opportunity ID,"Technology
Primary",Country,B2B Sales Medium,Sales Velocity,Opportunity Status,Sales Stage Iterations,Opportunity Size (USD),Client Revenue Sizing,Client Employee Sizing,Business from Client Last Year,Compete Intel,Opportunity Sizing
N00043158,ERP Implementation,France,Enterprise Sellers,13,Won,6,55289,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00032190,ERP Implementation,Germany,Marketing,16,Lost,2,47693,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00059971,ERP Implementation,United Kingdom,Marketing,64,Lost,2,34356,100K or less,More than 25K,0 (No business),Known,30K to 40K
N00044664,ERP Implementation,France,Enterprise Sellers,9,Won,1,33325,100K or less,1K or less,"25,000 - 50,000",Unknown,30K to 40K
N00070801,ERP Implementation,Italy,Enterprise Sellers,7,Lost,7,32004,100K or less,1K or less,0 (No business),,30K to 40K
N00038908,Technical Business Solutions,Spain,Enterprise Sellers,7,Lost,3,54992,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00075205,ERP Implementation,United Kingdom,Tele Sales,2,Lost,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00058275,Technical Business Solutions,Sweden,Marketing,64,Lost,2,42426,100K to 250K,1K or less,"More than 100,000",Known,40K to 50K
N00019470,ERP Implementation,Germany,Enterprise Sellers,48,Lost,2,38344,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00059418,Technical Business Solutions,Italy,Enterprise Sellers,44,Lost,3,15874,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00050807,ERP Implementation,Netherlands,Enterprise Sellers,65,Lost,3,15000,250K to 500K,More than 25K,0 (No business),Unknown,10K to 20K
N00031668,ERP Implementation,Spain,Marketing,16,Lost,3,46045,100K or less,1K or less,0 (No business),Known,40K to 50K
N00015097,ERP Implementation,Spain,Marketing,43,Won,5,68651,100K or less,15K to 25K,"More than 100,000",Known,More than 60K
N00003520,ERP Implementation,Spain,Marketing,91,Lost,4,31108,250K to 500K,More than 25K,0 (No business),Unknown,30K to 40K
N00027616,ERP Implementation,France,Enterprise Sellers,34,Won,3,16178,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00057357,Technical Business Solutions,Netherlands,Enterprise Sellers,41,Won,2,15000,250K to 500K,1K or less,0 (No business),Unknown,10K to 20K
N00040319,Technical Business Solutions,Spain,Marketing,24,Won,1,44513,100K or less,1K or less,"More than 100,000",Unknown,40K to 50K
N00060651,Technical Business Solutions,United Kingdom,Marketing,61,Lost,5,52020,500K to 1M,15K to 25K,0 (No business),Known,50K to 60K
N00077925,ERP Implementation,Italy,Marketing,2,Lost,2,44816,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00042947,ERP Implementation,Spain,Marketing,12,Lost,2,126864,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00063917,ERP Implementation,United Kingdom,Enterprise Sellers,35,Lost,3,11722,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00051823,ERP Implementation,Italy,Enterprise Sellers,44,Lost,2,39250,More than 1M,More than 25K,0 (No business),Unknown,30K to 40K
N00017754,Technical Business Solutions,Spain,Enterprise Sellers,54,Lost,8,15337,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00005219,ERP Implementation,Spain,Marketing,81,Lost,2,14048,More than 1M,15K to 25K,0 (No business),Known,10K to 20K
N00039939,ERP Implementation,France,Enterprise Sellers,2,Lost,7,16090,100K or less,1K or less,0 (No business),,10K to 20K
N00039343,Technical Business Solutions,Germany,Enterprise Sellers,17,Lost,3,27267,100K or less,1K or less,0 (No business),,20K to 30K
N00022258,Technical Business Solutions,Germany,Enterprise Sellers,44,Lost,3,915,100K to 250K,1K to 5K,0 (No business),Unknown,10K or less
N00022396,ERP Implementation,Spain,Enterprise Sellers,58,Lost,2,4000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00014681,ERP Implementation,France,Marketing,78,Lost,2,5217,More than 1M,1K to 5K,0 (No business),Unknown,10K or less
N00018999,ERP Implementation,France,Enterprise Sellers,44,Lost,3,49913,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00006991,ERP Implementation,Spain,Enterprise Sellers,88,Lost,2,11627,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00020654,ERP Implementation,France,Marketing,67,Won,3,35942,500K to 1M,1K to 5K,"0 - 25,000",,30K to 40K
N00052273,ERP Implementation,Italy,Enterprise Sellers,92,Won,1,90429,500K to 1M,1K or less,0 (No business),Unknown,More than 60K
N00006433,ERP Implementation,Spain,Enterprise Sellers,80,Lost,3,3800,100K to 250K,1K or less,0 (No business),,10K or less
N00032672,Technical Business Solutions,France,Enterprise Sellers,16,Lost,3,32788,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00019463,Technical Business Solutions,France,Enterprise Sellers,44,Lost,4,7750,100K or less,1K or less,0 (No business),Unknown,10K or less
N00028709,ERP Implementation,Spain,Marketing,37,Won,3,40416,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00015104,ERP Implementation,Spain,Enterprise Sellers,81,Lost,1,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00046514,ERP Implementation,Italy,Marketing,42,Won,5,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00019029,Technical Business Solutions,France,Partners,55,Lost,2,54974,500K to 1M,15K to 25K,0 (No business),Unknown,50K to 60K
N00062362,Technical Business Solutions,United Kingdom,Enterprise Sellers,44,Lost,2,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00074119,ERP Implementation,Italy,Marketing,14,Won,4,34461,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00039978,ERP Implementation,France,Marketing,9,Won,3,11891,100K or less,1K or less,"50,000 - 100,000",Unknown,10K to 20K
N00071147,Technical Business Solutions,Sweden,Enterprise Sellers,16,Lost,3,17952,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00038540,Technical Business Solutions,Germany,Enterprise Sellers,28,Lost,2,28971,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00067905,ERP Implementation,United Kingdom,Enterprise Sellers,43,Lost,2,14189,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00042029,Technical Business Solutions,France,Marketing,0,Lost,3,96903,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00003953,Technical Business Solutions,Spain,Marketing,86,Lost,4,32930,250K to 500K,1K to 5K,0 (No business),Unknown,30K to 40K
N00032935,Technical Business Solutions,Spain,Enterprise Sellers,32,Lost,3,30480,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00021598,Technical Business Solutions,Germany,Marketing,44,Lost,2,11627,More than 1M,More than 25K,0 (No business),Unknown,10K to 20K
N00036378,ERP Implementation,Spain,Enterprise Sellers,35,Lost,1,4294,100K or less,1K or less,0 (No business),Unknown,10K or less
N00022487,ERP Implementation,France,Enterprise Sellers,64,Lost,2,12904,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00040786,ERP Implementation,France,Marketing,2,Lost,3,47137,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00061428,ERP Implementation,United Kingdom,Marketing,51,Lost,2,44955,100K or less,1K or less,0 (No business),Known,40K to 50K
N00040644,ERP Implementation,France,Enterprise Sellers,6,Lost,2,7750,100K or less,1K or less,0 (No business),,10K or less
N00011999,ERP Implementation,France,Online Leads,73,Lost,3,30393,100K or less,More than 25K,0 (No business),Unknown,30K to 40K
N00010615,ERP Implementation,France,Tele Sales,75,Lost,3,12000,100K or less,1K to 5K,0 (No business),,10K to 20K
N00068701,Technical Business Solutions,United Kingdom,Tele Sales,34,Lost,3,28389,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00043153,ERP Implementation,France,Marketing,10,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00036533,Technical Business Solutions,Spain,Marketing,11,Lost,3,0,100K or less,1K or less,"More than 100,000",Known,10K or less
N00074843,ERP Implementation,Italy,Enterprise Sellers,9,Lost,3,37000,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00027149,ERP Implementation,France,Enterprise Sellers,54,Won,1,19249,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00039179,ERP Implementation,Germany,Enterprise Sellers,10,Lost,2,1000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00038885,ERP Implementation,Spain,Enterprise Sellers,27,Won,2,6182,100K or less,1K or less,"0 - 25,000",Unknown,10K or less
N00077150,ERP Implementation,Netherlands,Tele Sales,0,Lost,2,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00046966,ERP Implementation,Netherlands,Enterprise Sellers,41,Won,4,35471,More than 1M,1K or less,0 (No business),Unknown,30K to 40K
N00017583,ERP Implementation,Germany,Enterprise Sellers,16,Lost,4,30780,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00017849,ERP Implementation,France,Marketing,72,Lost,3,16763,More than 1M,More than 25K,0 (No business),Unknown,10K to 20K
N00056202,ERP Implementation,Netherlands,Enterprise Sellers,44,Lost,3,27739,250K to 500K,5K to 15K,0 (No business),,20K to 30K
N00077516,ERP Implementation,Italy,Tele Sales,1,Lost,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00017258,ERP Implementation,France,Enterprise Sellers,41,Lost,3,15501,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00000775,Technical Business Solutions,Spain,Enterprise Sellers,9,Lost,4,24413,500K to 1M,15K to 25K,0 (No business),Unknown,20K to 30K
N00045415,Technical Business Solutions,Germany,Marketing,3,Won,3,2500,100K or less,1K or less,0 (No business),Unknown,10K or less
N00074632,ERP Implementation,United Kingdom,Enterprise Sellers,20,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
